"idgames","critic_score","global_sales"
6674,48.0,0.13
6709,48.0,0.13
7063,48.0,0.11
7161,48.0,0.11
7195,48.0,0.11
7490,48.0,0.1
7613,48.0,0.09
7684,48.0,0.09
7764,48.0,0.08
7798,48.0,0.08
7831,48.0,0.08
8312,48.0,0.07
8440,48.0,0.06
8464,48.0,0.06
8561,48.0,0.06
8644,48.0,0.06
8765,48.0,0.05
8847,48.0,0.05
8859,48.0,0.05
8951,48.0,0.05
8996,48.0,0.04
9038,48.0,0.04
9185,48.0,0.04
9188,48.0,0.04
9339,48.0,0.03
9382,48.0,0.03
9442,48.0,0.03
9507,48.0,0.03
9520,48.0,0.03
9537,48.0,0.03
9684,48.0,0.02
9782,48.0,0.02
9980,48.0,0.02
10136,48.0,0.01
10189,48.0,0.01
10348,48.0,0.01
103,49.0,7.2
812,49.0,2.07
922,49.0,1.88
1354,49.0,1.29
2042,49.0,0.83
2102,49.0,0.8
2245,49.0,0.74
2322,49.0,0.71
2608,49.0,0.61
3140,49.0,0.49
3282,49.0,0.46
3641,49.0,0.4
3707,49.0,0.39
3785,49.0,0.38
3795,49.0,0.38
3911,49.0,0.36
3933,49.0,0.36
3971,49.0,0.35
4203,49.0,0.32
4268,49.0,0.31
4307,49.0,0.31
4371,49.0,0.3
4462,49.0,0.29
4629,49.0,0.27
4724,49.0,0.26
4755,49.0,0.26
4786,49.0,0.26
4858,49.0,0.25
5004,49.0,0.24
5206,49.0,0.22
5220,49.0,0.22
5222,49.0,0.22
5260,49.0,0.21
5495,49.0,0.2
5500,49.0,0.2
5552,49.0,0.19
5564,49.0,0.19
5606,49.0,0.19
5666,49.0,0.19
5779,49.0,0.18
5870,49.0,0.17
5972,49.0,0.17
5974,49.0,0.17
5981,49.0,0.17
6049,49.0,0.16
6056,49.0,0.16
6209,49.0,0.15
6474,49.0,0.14
6547,49.0,0.14
6561,49.0,0.13
6574,49.0,0.13
6795,49.0,0.12
6811,49.0,0.12
6841,49.0,0.12
7014,49.0,0.11
7149,49.0,0.11
7165,49.0,0.11
7381,49.0,0.1
7385,49.0,0.1
7465,49.0,0.1
7611,49.0,0.09
7812,49.0,0.08
7879,49.0,0.08
7929,49.0,0.08
7936,49.0,0.08
7971,49.0,0.08
7993,49.0,0.08
8085,49.0,0.07
8159,49.0,0.07
8201,49.0,0.07
8209,49.0,0.07
8282,49.0,0.07
8353,49.0,0.06
8748,49.0,0.05
8801,49.0,0.05
8860,49.0,0.05
8864,49.0,0.05
8931,49.0,0.05
9020,49.0,0.04
9219,49.0,0.04
9577,49.0,0.03
9746,49.0,0.02
10026,49.0,0.02
10125,49.0,0.01
10251,49.0,0.01
10318,49.0,0.01
616,50.0,2.5
1540,50.0,1.13
1910,50.0,0.9
2332,50.0,0.7
2375,50.0,0.69
2502,50.0,0.64
2588,50.0,0.62
2818,50.0,0.56
3116,50.0,0.5
3196,50.0,0.48
3289,50.0,0.46
3362,50.0,0.45
3386,50.0,0.44
3604,50.0,0.41
3616,50.0,0.41
3784,50.0,0.38
3900,50.0,0.36
4164,50.0,0.32
4245,50.0,0.32
4485,50.0,0.28
4538,50.0,0.28
4725,50.0,0.26
4896,50.0,0.25
4988,50.0,0.24
5006,50.0,0.24
5137,50.0,0.23
5181,50.0,0.22
5497,50.0,0.2
5565,50.0,0.19
5984,50.0,0.17
6001,50.0,0.17
6108,50.0,0.16
6159,50.0,0.16
6279,50.0,0.15
6347,50.0,0.15
6374,50.0,0.14
6379,50.0,0.14
6472,50.0,0.14
6544,50.0,0.14
6577,50.0,0.13
6600,50.0,0.13
6644,50.0,0.13
6719,50.0,0.13
6774,50.0,0.12
6797,50.0,0.12
6839,50.0,0.12
6925,50.0,0.12
6938,50.0,0.12
7010,50.0,0.11
7113,50.0,0.11
7138,50.0,0.11
7143,50.0,0.11
7150,50.0,0.11
7240,50.0,0.11
7257,50.0,0.1
7724,50.0,0.09
8061,50.0,0.07
8065,50.0,0.07
8097,50.0,0.07
8155,50.0,0.07
8168,50.0,0.07
8296,50.0,0.07
8533,50.0,0.06
8582,50.0,0.06
8631,50.0,0.06
8686,50.0,0.05
8766,50.0,0.05
8913,50.0,0.05
8950,50.0,0.05
9177,50.0,0.04
9178,50.0,0.04
9181,50.0,0.04
9239,50.0,0.04
9300,50.0,0.03
9824,50.0,0.02
9927,50.0,0.02
9958,50.0,0.02
9984,50.0,0.02
10077,50.0,0.02
1523,51.0,1.14
1715,51.0,1.01
1727,51.0,1.0
1744,51.0,0.99
1951,51.0,0.88
2032,51.0,0.84
2194,51.0,0.76
2637,51.0,0.6
2935,51.0,0.53
3070,51.0,0.5
3436,51.0,0.43
3446,51.0,0.43
3624,51.0,0.4
3648,51.0,0.4
3756,51.0,0.38
3836,51.0,0.37
3853,51.0,0.37
3909,51.0,0.36
4075,51.0,0.33
4602,51.0,0.27
4714,51.0,0.26
4888,51.0,0.25
4924,51.0,0.24
4965,51.0,0.24
5021,51.0,0.24
5150,51.0,0.22
5226,51.0,0.22
5257,51.0,0.22
5357,51.0,0.21
5417,51.0,0.2
5439,51.0,0.2
5519,51.0,0.2
5534,51.0,0.19
5576,51.0,0.19
5660,51.0,0.19
5674,51.0,0.19
5705,51.0,0.18
5707,51.0,0.18
5722,51.0,0.18
5784,51.0,0.18
5816,51.0,0.18
5841,51.0,0.18
5906,51.0,0.17
5963,51.0,0.17
6073,51.0,0.16
6079,51.0,0.16
6247,51.0,0.15
6277,51.0,0.15
6485,51.0,0.14
6581,51.0,0.13
6712,51.0,0.13
6759,51.0,0.13
6808,51.0,0.12
7071,51.0,0.11
7088,51.0,0.11
7131,51.0,0.11
7203,51.0,0.11
7243,51.0,0.11
7308,51.0,0.1
7313,51.0,0.1
7452,51.0,0.1
7570,51.0,0.09
7745,51.0,0.09
7792,51.0,0.08
7857,51.0,0.08
7897,51.0,0.08
7916,51.0,0.08
7953,51.0,0.08
7968,51.0,0.08
7990,51.0,0.08
8076,51.0,0.07
8317,51.0,0.07
8339,51.0,0.06
8351,51.0,0.06
8483,51.0,0.06
8705,51.0,0.05
8769,51.0,0.05
8803,51.0,0.05
8814,51.0,0.05
9097,51.0,0.04
9201,51.0,0.04
9301,51.0,0.03
9493,51.0,0.03
9676,51.0,0.02
9685,51.0,0.02
9717,51.0,0.02
9900,51.0,0.02
10044,51.0,0.02
10293,51.0,0.01
10329,51.0,0.01
1227,52.0,1.43
1410,52.0,1.25
1413,52.0,1.24
1488,52.0,1.17
1797,52.0,0.95
2163,52.0,0.77
2183,52.0,0.76
2189,52.0,0.76
2650,52.0,0.6
2734,52.0,0.58
3011,52.0,0.52
3572,52.0,0.41
3768,52.0,0.38
3870,52.0,0.37
4053,52.0,0.34
4092,52.0,0.33
4234,52.0,0.32
4304,52.0,0.31
4381,52.0,0.3
4522,52.0,0.28
4682,52.0,0.27
4814,52.0,0.25
4816,52.0,0.25
4964,52.0,0.24
5077,52.0,0.23
5202,52.0,0.22
5266,52.0,0.21
5408,52.0,0.2
5437,52.0,0.2
5568,52.0,0.19
5625,52.0,0.19
5789,52.0,0.18
5908,52.0,0.17
5913,52.0,0.17
5924,52.0,0.17
6022,52.0,0.16
6085,52.0,0.16
6088,52.0,0.16
6278,52.0,0.15
6283,52.0,0.15
6591,52.0,0.13
6726,52.0,0.13
6814,52.0,0.12
6908,52.0,0.12
7048,52.0,0.11
7074,52.0,0.11
7224,52.0,0.11
7283,52.0,0.1
7306,52.0,0.1
7351,52.0,0.1
7446,52.0,0.1
7560,52.0,0.09
7774,52.0,0.08
7865,52.0,0.08
7906,52.0,0.08
7985,52.0,0.08
8516,52.0,0.06
8633,52.0,0.06
8715,52.0,0.05
8858,52.0,0.05
8993,52.0,0.04
9161,52.0,0.04
9240,52.0,0.04
9457,52.0,0.03
9649,52.0,0.03
9744,52.0,0.02
9863,52.0,0.02
9873,52.0,0.02
9968,52.0,0.02
9987,52.0,0.02
10049,52.0,0.02
10221,52.0,0.01
10264,52.0,0.01
1041,53.0,1.69
1114,53.0,1.58
1517,53.0,1.15
1993,53.0,0.86
2065,53.0,0.82
2134,53.0,0.79
2160,53.0,0.77
3031,53.0,0.51
3032,53.0,0.51
3210,53.0,0.47
3263,53.0,0.46
3265,53.0,0.46
3343,53.0,0.45
3402,53.0,0.44
3410,53.0,0.44
3475,53.0,0.43
3592,53.0,0.41
3663,53.0,0.4
3747,53.0,0.39
3789,53.0,0.38
3899,53.0,0.36
3927,53.0,0.36
4236,53.0,0.32
4337,53.0,0.3
4341,53.0,0.3
4706,53.0,0.26
4728,53.0,0.26
4777,53.0,0.26
4835,53.0,0.25
4857,53.0,0.25
4897,53.0,0.25
4950,53.0,0.24
4985,53.0,0.24
4999,53.0,0.24
5019,53.0,0.24
5024,53.0,0.24
5071,53.0,0.23
5074,53.0,0.23
5211,53.0,0.22
5251,53.0,0.22
5350,53.0,0.21
5368,53.0,0.21
5427,53.0,0.2
5438,53.0,0.2
5486,53.0,0.2
5514,53.0,0.2
5554,53.0,0.19
5636,53.0,0.19
5853,53.0,0.18
5919,53.0,0.17
5947,53.0,0.17
5979,53.0,0.17
6051,53.0,0.16
6114,53.0,0.16
6200,53.0,0.15
6232,53.0,0.15
6458,53.0,0.14
6468,53.0,0.14
6569,53.0,0.13
6604,53.0,0.13
6725,53.0,0.13
6787,53.0,0.12
6789,53.0,0.12
6793,53.0,0.12
6832,53.0,0.12
6942,53.0,0.12
7058,53.0,0.11
7156,53.0,0.11
7199,53.0,0.11
7215,53.0,0.11
7347,53.0,0.1
7353,53.0,0.1
7362,53.0,0.1
7445,53.0,0.1
7447,53.0,0.1
7449,53.0,0.1
7664,53.0,0.09
7705,53.0,0.09
8014,53.0,0.08
8285,53.0,0.07
8349,53.0,0.06
8550,53.0,0.06
8552,53.0,0.06
8624,53.0,0.06
8645,53.0,0.06
8668,53.0,0.05
8788,53.0,0.05
8965,53.0,0.05
9059,53.0,0.04
9154,53.0,0.04
9193,53.0,0.04
9235,53.0,0.04
9284,53.0,0.04
9297,53.0,0.03
9305,53.0,0.03
9312,53.0,0.03
9615,53.0,0.03
9689,53.0,0.02
9793,53.0,0.02
9994,53.0,0.02
10234,53.0,0.01
10280,53.0,0.01
10347,53.0,0.01
1016,54.0,1.73
1137,54.0,1.56
1209,54.0,1.46
1593,54.0,1.09
1703,54.0,1.02
1757,54.0,0.98
1778,54.0,0.97
2222,54.0,0.74
2486,54.0,0.65
2494,54.0,0.64
2554,54.0,0.63
3083,54.0,0.5
3123,54.0,0.49
3224,54.0,0.47
3250,54.0,0.47
3485,54.0,0.42
3545,54.0,0.42
3615,54.0,0.41
3767,54.0,0.38
3792,54.0,0.38
3821,54.0,0.37
3913,54.0,0.36
4034,54.0,0.34
4063,54.0,0.33
4112,54.0,0.33
4313,54.0,0.31
4315,54.0,0.31
4505,54.0,0.28
4562,54.0,0.28
4565,54.0,0.28
4779,54.0,0.26
5178,54.0,0.22
5319,54.0,0.21
5384,54.0,0.21
5615,54.0,0.19
5751,54.0,0.18
5760,54.0,0.18
5761,54.0,0.18
5834,54.0,0.18
5862,54.0,0.17
5922,54.0,0.17
5985,54.0,0.17
6203,54.0,0.15
6253,54.0,0.15
6289,54.0,0.15
6343,54.0,0.15
6425,54.0,0.14
6430,54.0,0.14
6462,54.0,0.14
6476,54.0,0.14
6525,54.0,0.14
6633,54.0,0.13
6639,54.0,0.13
6960,54.0,0.12
6974,54.0,0.12
6978,54.0,0.12
7028,54.0,0.11
7035,54.0,0.11
7228,54.0,0.11
7247,54.0,0.11
7248,54.0,0.11
7278,54.0,0.1
7285,54.0,0.1
7320,54.0,0.1
7393,54.0,0.1
7422,54.0,0.1
7454,54.0,0.1
7483,54.0,0.1
7495,54.0,0.1
7621,54.0,0.09
7753,54.0,0.09
7861,54.0,0.08
7890,54.0,0.08
8016,54.0,0.08
8051,54.0,0.08
8137,54.0,0.07
8148,54.0,0.07
8318,54.0,0.07
8337,54.0,0.06
8436,54.0,0.06
8504,54.0,0.06
8506,54.0,0.06
8572,54.0,0.06
8612,54.0,0.06
8742,54.0,0.05
8868,54.0,0.05
8890,54.0,0.05
8918,54.0,0.05
8944,54.0,0.05
9051,54.0,0.04
9242,54.0,0.04
9268,54.0,0.04
9298,54.0,0.03
9448,54.0,0.03
9510,54.0,0.03
9524,54.0,0.03
9657,54.0,0.03
9771,54.0,0.02
9934,54.0,0.02
9955,54.0,0.02
9960,54.0,0.02
10121,54.0,0.01
10267,54.0,0.01
821,55.0,2.06
1009,55.0,1.75
1012,55.0,1.74
1130,55.0,1.57
1246,55.0,1.41
1467,55.0,1.19
1739,55.0,0.99
1983,55.0,0.87
2137,55.0,0.78
2201,55.0,0.75
2252,55.0,0.73
2253,55.0,0.73
2255,55.0,0.73
2284,55.0,0.72
2534,55.0,0.63
2706,55.0,0.58
2809,55.0,0.56
