"idgames","user_score","global_sales"
9978,4.8,0.02
10242,4.8,0.01
10268,4.8,0.01
263,4.9,4.29
304,4.9,3.96
612,4.9,2.52
785,4.9,2.11
1004,4.9,1.75
1391,4.9,1.27
1488,4.9,1.17
1980,4.9,0.87
2032,4.9,0.84
2163,4.9,0.77
2194,4.9,0.76
2371,4.9,0.69
2654,4.9,0.6
2689,4.9,0.59
2753,4.9,0.57
3285,4.9,0.46
3489,4.9,0.42
4566,4.9,0.28
4908,4.9,0.25
5136,4.9,0.23
5568,4.9,0.19
5917,4.9,0.17
6030,4.9,0.16
6811,4.9,0.12
6867,4.9,0.12
6949,4.9,0.12
7246,4.9,0.11
7527,4.9,0.09
7800,4.9,0.08
8032,4.9,0.08
8071,4.9,0.07
8174,4.9,0.07
8732,4.9,0.05
8771,4.9,0.05
8961,4.9,0.05
9127,4.9,0.04
9150,4.9,0.04
9345,4.9,0.03
9382,4.9,0.03
9874,4.9,0.02
94,5.0,7.59
790,5.0,2.1
874,5.0,1.95
1161,5.0,1.52
1227,5.0,1.43
1356,5.0,1.29
1401,5.0,1.25
1616,5.0,1.07
1743,5.0,0.99
2043,5.0,0.83
2129,5.0,0.79
2167,5.0,0.77
2921,5.0,0.54
3120,5.0,0.49
3150,5.0,0.49
3185,5.0,0.48
3354,5.0,0.45
3425,5.0,0.43
3616,5.0,0.41
3635,5.0,0.4
3648,5.0,0.4
3973,5.0,0.35
4598,5.0,0.27
4633,5.0,0.27
4738,5.0,0.26
4749,5.0,0.26
4909,5.0,0.25
4947,5.0,0.24
5022,5.0,0.24
5089,5.0,0.23
5254,5.0,0.22
5339,5.0,0.21
5832,5.0,0.18
5921,5.0,0.17
5984,5.0,0.17
5986,5.0,0.17
5991,5.0,0.17
6166,5.0,0.16
6302,5.0,0.15
6365,5.0,0.14
6468,5.0,0.14
6715,5.0,0.13
6795,5.0,0.12
6904,5.0,0.12
6925,5.0,0.12
6984,5.0,0.12
7113,5.0,0.11
7120,5.0,0.11
7424,5.0,0.1
7495,5.0,0.1
7613,5.0,0.09
7629,5.0,0.09
7792,5.0,0.08
7797,5.0,0.08
7812,5.0,0.08
8131,5.0,0.07
8338,5.0,0.06
8359,5.0,0.06
8370,5.0,0.06
8557,5.0,0.06
9055,5.0,0.04
9152,5.0,0.04
9984,5.0,0.02
10272,5.0,0.01
968,5.1,1.81
1011,5.1,1.74
1455,5.1,1.21
1458,5.1,1.2
1522,5.1,1.15
1555,5.1,1.12
1766,5.1,0.97
2136,5.1,0.78
2320,5.1,0.71
2521,5.1,0.64
2642,5.1,0.6
2699,5.1,0.58
2713,5.1,0.58
2853,5.1,0.55
2974,5.1,0.53
3197,5.1,0.48
3401,5.1,0.44
3770,5.1,0.38
3981,5.1,0.35
4455,5.1,0.29
4607,5.1,0.27
4610,5.1,0.27
4954,5.1,0.24
5082,5.1,0.23
5405,5.1,0.2
5502,5.1,0.2
5783,5.1,0.18
6000,5.1,0.17
6023,5.1,0.16
6233,5.1,0.15
7276,5.1,0.1
7360,5.1,0.1
7721,5.1,0.09
7936,5.1,0.08
8285,5.1,0.07
8685,5.1,0.05
8761,5.1,0.05
8799,5.1,0.05
8840,5.1,0.05
9175,5.1,0.04
9305,5.1,0.03
10056,5.1,0.02
10126,5.1,0.01
10334,5.1,0.01
777,5.2,2.12
812,5.2,2.07
1089,5.2,1.63
1472,5.2,1.19
1780,5.2,0.97
1908,5.2,0.9
1913,5.2,0.9
2116,5.2,0.79
2208,5.2,0.75
2277,5.2,0.72
