,developer
812,Sinister Games
813,"Banpresto, SoftMax"
814,Mahou
815,Graphic State
816,Wizarbox
817,Hyperspace Cowgirls
818,Related Designs
819,The Workshop
820,"Neversoft Entertainment, Underground Development"
821,Simon & Schuster
822,Banpresto
823,DoubleTap Games
824,Mistic Software
825,IR Gurus
826,LightBox Interactive
827,Akella
828,Game Brains
829,Circus Freak
830,Infinite Interactive
831,Wargaming.net
832,Game Titan
833,Sacnoth
834,Cave
835,Sanuk Games
836,Just Add Monsters
837,Sims
838,Volatile Games
839,Media Vision
840,Ignition Entertainment
841,Zindagi Games
842,Zoom
843,Sensory Sweep
844,Telltale Games
845,Sega Toys
846,Presto Studios
847,Ornith
848,"Zoe Mode, HB Studios Multimedia"
849,"Activision, FreeStyleGames"
850,Attention To Detail
851,Crawfish Interactive
852,"Rockstar Toronto, Rockstar Leeds"
853,HotGen
854,Amble
855,Gusto Games
856,"GameMill Publishing, 1st Playable Productions"
857,The Learning Company
858,"Mac Play, MacPlay"
859,Ubisoft Vancouver
860,Majesco Games
861,TimeGate Studios
862,Pacific Century Cyber Works
863,"LDW, Big Fish Games"
864,"Rocksteady Studios, Virtuos"
865,Smilebit
866,Blue Shift
867,"Rovio Mobile, Rovio Entertainment"
868,Metro
869,iWin
870,"Treyarch, Shaba Games"
871,Prokion
872,2K Shanghai
873,Artech Studios
874,Crispy's
875,Left Field Productions
876,Mitchell
877,Activision Value
878,"Cyanide, Cyanide Studios"
879,AQ Interactive
880,Starfish SD
881,FuRyu
882,Sony Interactive Entertainment
883,InXile Entertainment
884,2015
885,Tornado Studios
886,Stainless Games
887,ZootFly
888,Empire Interactive
889,Southend Interactive
890,Amaze
891,Y's K
892,Data Design Interactive
893,Bec
894,"Io Interactive, Nixxes Software"
895,Handheld Games
896,"Tamsoft, D3Publisher"
897,Falcom
898,Metro Graphics
899,Lucky Chicken
900,"Matrix Software, Marvelous Entertainment"
901,Nautilus
902,Hasbro Interactive
903,Frogwares
904,Oxygen Interactive
905,Revolution Software
906,Larian Studios
907,Blueshift
908,Compile Heart
909,SolWorks
910,Magic Pixel Games
911,Gratuitous Games
912,Sanrio Digital
913,Griffin International
914,K2
915,"Hudson, NATSUME ATARI Inc."
916,Jet Black Games
917,Bits Studios
918,Piranha Bytes
919,Alphadream Corporation
920,Tecmo Koei Games
921,Phoenix Interactive Entertainment
922,"Tecmo, Ntreev Soft"
923,Monumental Games
924,Climax Entertainment
925,"Aspect, Takara Tomy"
